Tm,Year,age_computed_mean,age_computed_std,age_computed_min,age_computed_max,experience_mean,experience_std,experience_max,PER_mean,PER_max,PER_std,WS_sum,WS_mean,WS/48_mean,VORP_sum,VORP_mean,BPM_mean,PTS_mean,TRB_mean,AST_mean,G_mean,roster_size,nationality_diversity,avg_draft_pick,star_player_count,TEAM_ID,W,L,W_PCT,HOME_RECORD,ROAD_RECORD
GSW,1988,26.38888888888889,3.7280950645681656,23.0,37.0,4.714285714285714,3.451707651914587,13,12.461904761904762,19.8,4.009298715545674,22.2,1.0571428571428572,0.030904761904761907,0.1000000000000002,0.004761904761904771,-3.4904761904761905,417.6666666666667,161.52380952380952,95.47619047619048,40.19047619047619,21,1,11.38888888888889,0,1610612744.0,,,,,
GSW,1989,26.928571428571427,3.173551413074723,23.0,33.0,4.647058823529412,3.7071076405768864,14,13.68235294117647,27.3,5.780704465516902,40.6,2.388235294117647,0.08058823529411765,9.0,0.5294117647058824,-1.717647058823529,562.2352941176471,228.47058823529412,118.17647058823529,49.529411764705884,17,1,10.615384615384615,2,1610612744.0,,,,,
GSW,1990,25.875,7.923593460882085,-2.0,34.0,4.684210526315789,3.266881482374749,11,11.494736842105263,22.7,5.456339196466857,35.8,1.8842105263157893,0.03952631578947369,8.600000000000001,0.4526315789473685,-3.126315789473684,562.9473684210526,190.0,140.3684210526316,48.36842105263158,19,1,11.285714285714286,1,1610612744.0,,,,,
GSW,1991,25.875,8.09011742807235,-1.0,34.0,4.894736842105263,4.201781855383966,14,12.042105263157893,21.4,5.574875762389855,55.199999999999996,2.9052631578947365,0.07021052631578947,16.900000000000002,0.8894736842105264,-2.2736842105263158,602.3684210526316,197.42105263157896,144.57894736842104,49.68421052631579,19,1,10.625,3,1610612744.0,,,,,
GSW,1992,25.555555555555557,7.097822551129344,0.0,34.0,4.9,3.275105462343722,13,13.094999999999999,19.9,5.32861935312763,59.9,2.995,0.09725,18.099999999999998,0.9049999999999999,-2.185,581.25,191.15,143.55,46.05,20,1,13.411764705882353,0,1610612744.0,,,,,
GSW,1993,25.736842105263158,7.046213366554943,1.0,35.0,4.428571428571429,3.654742515847438,12,13.195238095238096,20.4,5.03859863359607,46.5,2.2142857142857144,0.07847619047619048,11.9,0.5666666666666667,-1.9047619047619047,496.8095238095238,184.0952380952381,129.0,41.476190476190474,21,1,15.625,1,1610612744.0,,,,,
GSW,1994,26.4,2.6131535409484505,21.0,31.0,3.875,2.5787593916455256,9,13.0875,21.7,5.034663179730431,44.1,2.75625,0.08075,12.1,0.75625,-2.2375,552.75,223.6875,137.375,53.0625,16,1,13.545454545454545,1,1610612744.0,,,,,
GSW,1995,26.333333333333332,7.129062309432054,3.0,36.0,5.947368421052632,4.6484607274347205,16,13.678947368421051,19.5,3.3937162435183743,32.7,1.7210526315789476,0.06652631578947368,6.2,0.3263157894736842,-1.6368421052631579,521.7894736842105,192.73684210526315,136.57894736842104,44.526315789473685,19,1,12.785714285714286,0,1610612744.0,,,,,
GSW,1996,26.235294117647058,6.905879847679673,4.0,34.0,6.222222222222222,4.1238981495318745,13,13.433333333333334,18.5,4.2852688844184215,43.4,2.411111111111111,0.08116666666666666,9.4,0.5222222222222223,-2.1444444444444444,503.8333333333333,199.38888888888889,124.94444444444444,49.111111111111114,18,1,15.0,0,1610612744.0,,,,,
GSW,1997,26.533333333333335,3.1817934445544265,22.0,33.0,5.1875,3.544361719689456,12,10.96875,19.7,6.3711557036380775,31.299999999999997,1.9562499999999998,0.0259375,3.5999999999999996,0.22499999999999998,-4.0625,510.6875,209.0625,113.875,52.75,16,1,10.538461538461538,0,1610612744.0,,,,,
