Player,season_start,REG_PER,REG_TS%,REG_USG%,REG_WS,REG_WS/48,REG_VORP,REG_BPM,REG_OBPM,REG_DBPM,POF_PER,POF_TS%,POF_USG%,POF_WS,POF_WS/48,POF_VORP,POF_BPM,POF_OBPM,POF_DBPM,team
Abdel Nader,2018,5.1,0.439,17.1,-0.1,-0.014,-0.4,-5.3,-5.5,0.2,5.2,0.358,26.2,-0.1,-0.122,0.0,-6.8,-6.2,-0.6,BOS
Abdel Nader,2021,13.4,0.605,19.0,0.7,0.095,0.2,0.0,-1.0,1.0,0.3,0.333,9.4,0.0,-0.027,0.0,-8.0,-6.7,-1.3,PHO
Abdel Nader,2022,4.9,0.431,15.0,0.0,-0.009,-0.1,-4.9,-7.1,2.2,,,,,,,,,,PHO
Acie Earl,1995,6.6,0.409,19.7,-0.2,-0.038,-0.4,-8.9,-6.9,-2.0,-0.2,0.258,17.4,0.0,-0.106,0.0,-13.3,-11.2,-2.1,BOS
Acie Earl,1997,18.6,0.446,33.6,0.1,0.088,0.0,-3.9,-3.4,-0.6,,,,,,,,,,MIL
Acie Law,2008,7.7,0.455,16.5,-0.1,-0.007,-0.7,-5.2,-4.2,-1.0,12.7,0.847,15.9,0.0,0.034,0.0,0.4,-0.5,0.9,ATL
Acie Law,2009,10.6,0.49,16.3,0.7,0.062,-0.1,-2.9,-2.2,-0.6,10.9,0.424,18.6,0.0,0.027,0.0,-2.0,0.3,-2.4,ATL
Acie Law,2010,15.4,0.58,22.9,0.3,0.101,0.0,-1.0,0.0,-1.0,,,,,,,,,,CHI
Acie Law,2011,11.3,0.532,15.6,0.7,0.052,-0.2,-3.2,-2.7,-0.5,,,,,,,,,,GSW
Adam Harrington,2003,1.4,0.308,24.4,-0.1,-0.164,-0.1,-11.1,-8.4,-2.7,,,,,,,,,,DAL
Adam Keefe,1995,15.1,0.616,15.6,4.1,0.154,0.5,-0.4,0.2,-0.6,18.7,0.615,9.9,0.2,0.161,0.1,4.4,4.0,0.4,UTA
Adam Keefe,1996,13.8,0.574,14.0,4.6,0.13,0.6,-0.6,-0.5,0.0,12.6,0.699,13.4,0.6,0.149,0.1,-0.6,-1.2,0.6,UTA
Adam Keefe,1997,11.7,0.572,12.7,2.3,0.118,0.2,-1.0,-1.3,0.3,9.0,0.463,8.6,0.1,0.075,0.0,0.4,-1.7,2.1,UTA
Adam Keefe,1998,14.5,0.605,13.2,6.5,0.153,1.3,0.6,1.3,-0.6,8.6,0.425,12.6,0.3,0.09,0.0,-2.5,-1.9,-0.5,UTA
Adam Keefe,1999,12.2,0.533,14.6,1.7,0.126,0.2,-0.8,-1.2,0.4,17.3,0.637,19.1,0.3,0.147,0.1,1.9,-0.5,2.4,UTA
Adam Keefe,2000,7.6,0.463,14.7,0.4,0.03,-0.3,-4.0,-4.4,0.4,,,,,,,,,,UTA
Adam Keefe,2001,9.7,0.45,11.5,0.6,0.032,-0.5,-4.3,-3.5,-0.7,,,,,,,,,,GSW
Adam Mokoka,2020,8.2,0.538,12.1,0.2,0.073,-0.1,-4.1,-2.9,-1.2,,,,,,,,,,CHI
Adam Mokoka,2021,2.2,0.386,18.9,-0.1,-0.112,-0.1,-9.3,-7.7,-1.6,,,,,,,,,,CHI
Adam Morrison,2009,2.9,0.388,15.9,0.0,-0.045,-0.1,-9.2,-6.5,-2.7,,,,,,,,,,LAL
Adam Morrison,2010,7.4,0.418,18.3,0.0,0.009,-0.2,-4.7,-3.6,-1.1,21.5,0.444,31.6,0.0,0.131,0.0,-3.4,-0.5,-2.9,LAL
Ade Murkey,2022,0.0,,0.0,0.0,-0.017,0.0,-9.7,-7.4,-2.3,,,,,,,,,,SAC
Admiral Schofield,2022,7.5,0.538,14.5,0.3,0.027,-0.4,-5.4,-4.2,-1.2,,,,,,,,,,ORL
Admiral Schofield,2023,10.1,0.587,14.1,0.8,0.089,-0.1,-2.9,-2.2,-0.7,,,,,,,,,,ORL
Adonal Foyle,1998,9.2,0.418,16.4,-0.1,-0.009,-0.6,-5.3,-5.9,0.5,,,,,,,,,,GSW
Adonal Foyle,1999,12.3,0.45,12.6,1.1,0.087,0.1,-1.3,-2.8,1.5,,,,,,,,,,GSW
Adonal Foyle,2000,12.3,0.5,12.5,1.9,0.055,-0.4,-2.9,-2.8,-0.1,,,,,,,,,,GSW
Adonal Foyle,2001,12.4,0.422,14.0,0.7,0.022,-0.3,-2.8,-3.6,0.8,,,,,,,,,,GSW
Adonal Foyle,2002,12.5,0.445,14.2,1.2,0.039,0.0,-2.1,-3.0,1.0,,,,,,,,,,GSW
Adonal Foyle,2003,15.3,0.563,11.0,4.0,0.106,1.3,0.9,-0.7,1.7,,,,,,,,,,GSW
Adonal Foyle,2004,13.0,0.471,13.4,1.1,0.093,0.1,-1.1,-2.3,1.2,,,,,,,,,,GSW
Adonal Foyle,2005,12.7,0.514,10.4,3.4,0.096,0.3,-1.2,-2.8,1.7,,,,,,,,,,GSW
Adonal Foyle,2006,10.3,0.524,10.0,2.8,0.075,0.1,-1.7,-3.4,1.7,,,,,,,,,,GSW
Adonal Foyle,2007,13.7,0.557,10.7,1.0,0.104,0.2,-0.7,-2.3,1.6,20.0,1.0,7.4,0.0,0.215,0.0,8.2,6.4,1.7,GSW
Adonal Foyle,2008,9.9,0.464,11.8,1.3,0.08,0.0,-1.9,-3.1,1.2,-6.9,0.333,21.7,-0.1,-0.314,0.0,-16.0,-13.7,-2.3,ORL
Adonal Foyle,2009,21.0,0.623,13.0,0.3,0.223,0.1,5.1,1.6,3.5,-26.3,0.0,24.2,-0.1,-0.615,0.0,-31.1,-25.5,-5.6,ORL
Adonis Jordan,1999,18.9,0.521,20.6,0.0,0.081,0.0,7.3,1.3,6.0,,,,,,,,,,MIL
Adonis Thomas,2014,5.8,0.371,17.9,0.0,-0.031,0.0,-6.4,-4.7,-1.7,,,,,,,,,,ORL
Adreian Payne,2015,7.8,0.448,16.9,-0.5,-0.033,-0.9,-6.8,-4.9,-2.0,,,,,,,,,,MIN
Adreian Payne,2016,5.6,0.422,17.7,-0.5,-0.047,-0.5,-6.2,-6.1,-0.2,,,,,,,,,,MIN
Adreian Payne,2017,14.4,0.505,23.1,0.2,0.086,0.0,-2.3,-3.8,1.5,,,,,,,,,,MIN
Adreian Payne,2018,18.8,0.831,15.0,0.2,0.203,0.0,2.4,1.8,0.6,,,,,,,,,,ORL
Adrian Caldwell,1995,4.4,0.377,11.4,0.0,0.02,0.0,-7.2,-7.8,0.7,,,,,,,,,,HOU
Adrian Caldwell,1996,10.4,0.556,18.8,0.3,0.044,-0.3,-5.8,-5.1,-0.7,37.4,1.0,15.9,0.0,0.368,0.0,16.5,14.2,2.3,IND
Adrian Caldwell,1997,8.8,0.503,10.1,0.3,0.041,-0.4,-6.5,-4.8,-1.6,,,,,,,,,,PHI
Adrian Caldwell,1998,0.0,,0.0,0.0,-0.022,0.0,-5.6,-3.6,-2.1,,,,,,,,,,DAL
Adrian Griffin,2000,12.6,0.503,13.0,3.9,0.098,1.3,0.6,-0.9,1.4,,,,,,,,,,BOS
Adrian Griffin,2001,10.5,0.432,15.1,0.4,0.056,0.0,-2.4,-2.5,0.1,,,,,,,,,,BOS
Adrian Griffin,2002,14.2,0.545,13.8,3.5,0.121,1.1,1.3,-0.3,1.6,13.8,0.559,16.0,0.1,0.05,0.0,0.6,0.0,0.6,DAL
Adrian Griffin,2003,11.5,0.463,13.2,2.9,0.1,0.6,-0.3,-2.1,1.8,10.6,0.442,17.5,0.1,0.025,-0.1,-4.4,-3.7,-0.7,DAL
Adrian Griffin,2004,4.5,0.278,8.2,0.1,0.031,0.0,-1.9,-6.3,4.4,,,,,,,,,,HOU
Adrian Griffin,2005,10.7,0.419,14.1,1.3,0.095,0.4,0.6,-2.7,3.4,16.4,0.545,16.8,0.3,0.157,0.1,3.4,-0.8,4.2,CHI
Adrian Griffin,2006,11.6,0.521,10.0,2.9,0.113,0.9,0.8,-0.8,1.6,13.0,0.568,9.8,1.0,0.142,0.5,3.7,0.7,3.0,DAL
Adrian Griffin,2007,10.7,0.499,13.3,1.3,0.103,0.3,-0.3,-3.3,3.0,-19.0,0.0,30.8,-0.1,-0.569,-0.1,-26.0,-19.2,-6.9,CHI
Adrian Griffin,2008,8.5,0.404,15.8,0.0,-0.009,-0.1,-3.8,-4.3,0.4,,,,,,,,,,CHI
Ahmad Caver,2022,76.2,1.0,42.8,0.0,1.204,0.0,36.9,31.0,5.9,,,,,,,,,,IND
Al Harrington,1999,6.4,0.359,22.0,-0.2,-0.049,-0.3,-9.0,-6.2,-2.8,,,,,,,,,,IND
Al Harrington,2000,10.8,0.524,20.1,1.0,0.057,-0.3,-3.4,-3.3,-0.1,,,,,,,,,,IND
Al Harrington,2001,10.2,0.479,18.8,1.2,0.031,-0.7,-3.4,-3.3,-0.1,-4.8,0.18,17.3,-0.2,-0.213,-0.1,-13.7,-8.8,-4.9,IND
Al Harrington,2002,14.3,0.526,21.6,2.6,0.094,0.0,-1.9,-1.5,-0.4,,,,,,,,,,IND
Al Harrington,2003,12.4,0.493,21.6,3.9,0.075,-0.5,-2.8,-2.3,-0.5,-0.8,0.253,20.4,-0.4,-0.182,-0.2,-10.9,-10.2,-0.6,IND
Al Harrington,2004,14.9,0.514,22.9,5.9,0.116,0.8,-0.7,-0.9,0.2,13.9,0.463,21.7,0.8,0.094,0.1,-0.9,-2.2,1.3,IND
Al Harrington,2005,14.4,0.508,23.6,1.6,0.03,-0.1,-2.2,-0.7,-1.4,,,,,,,,,,ATL
Al Harrington,2006,16.0,0.513,25.6,3.8,0.065,0.5,-1.3,0.4,-1.7,,,,,,,,,,ATL
Al Harrington,2007,16.1,0.542,23.1,2.8,0.099,0.6,-0.3,0.9,-1.2,12.8,0.504,20.5,0.4,0.068,0.0,-2.2,-0.6,-1.6,GSW
Al Harrington,2008,15.6,0.547,21.1,5.4,0.118,1.2,0.2,1.0,-0.8,,,,,,,,,,GSW
Al Harrington,2009,16.4,0.555,26.0,4.0,0.08,1.2,0.0,0.9,-0.9,,,,,,,,,,NYK
Al Harrington,2010,16.8,0.546,26.8,3.5,0.077,0.6,-0.8,0.8,-1.6,,,,,,,,,,NYK
Al Harrington,2011,12.3,0.527,22.3,2.1,0.06,0.1,-1.7,-0.6,-1.1,12.8,0.589,18.1,0.1,0.064,0.1,3.0,1.5,1.5,DEN
Al Harrington,2012,15.3,0.535,24.4,3.2,0.088,0.7,-0.4,0.5,-0.8,10.4,0.417,22.8,0.1,0.035,0.0,-2.0,0.1,-2.1,DEN
Al Harrington,2013,10.3,0.434,25.1,0.0,-0.012,-0.1,-4.5,-3.0,-1.5,,,,,,,,,,ORL
Al Horford,2008,14.7,0.539,16.0,5.5,0.103,0.3,-1.6,-1.2,-0.3,14.9,0.525,17.0,0.4,0.064,0.3,2.1,1.1,1.0,ATL
Al Horford,2009,17.0,0.565,16.4,6.8,0.145,2.1,1.7,0.2,1.5,12.5,0.463,14.0,0.4,0.078,0.1,0.0,-1.0,1.1,ATL
