season,player_id,player_name,position,height_wo_shoes,height_w_shoes,weight,wingspan,standing_reach,body_fat_pct,hand_length,hand_width,standing_vertical_leap,max_vertical_leap,lane_agility_time,three_quarter_sprint,bench_press
2002,2425,Robert Archibald,PF-C,82.0,,250.0,83.75,109.5,,,,24.0,27.5,11.34,3.33,10.0
2002,2486,Maurice Baker,PG,71.75,,178.0,76.0,96.0,,,,29.5,33.0,12.19,3.29,2.0
2002,2440,Matt Barnes,SF,78.75,,226.0,81.0,96.5,,,,35.5,40.5,10.68,3.28,11.0
2002,12286,Lubos Barton,SF-SG,78.5,,221.0,84.0,107.0,,,,25.5,31.5,11.2,3.31,14.0
2002,2437,Lonny Baxter,PF-C,78.25,,264.0,85.5,107.5,,,,28.0,32.5,11.77,3.21,14.0
2002,12287,Lee Benson,SF-PF,80.25,,217.0,85.75,109.0,,,,27.5,32.5,11.44,3.29,14.0
2002,2430,Carlos Boozer,PF,79.75,,258.0,86.25,108.5,,,,26.5,28.5,10.77,3.31,13.0
2002,2414,Curtis Borchardt,C,82.75,,238.0,86.5,112.0,,,,24.0,27.0,12.56,3.63,7.0
2002,2452,J.R. Bremer,SG-PG,73.25,,188.0,74.25,96.0,,,,30.0,35.5,10.93,3.1,24.0
2002,12288,Brian Brown,PG-SG,74.5,,194.0,79.0,99.0,,,,26.0,33.0,11.43,3.29,8.0
2002,12289,Sylvere Bryan,PF,81.0,,226.0,88.5,109.5,,,,28.5,29.5,12.03,3.2,13.0
2002,12290,Chris Burgess,C,82.0,,246.0,83.5,109.0,,,,24.5,31.0,11.58,3.37,24.0
2002,2406,Caron Butler,SF-SG,77.25,,222.0,83.5,103.5,,,,27.0,31.0,12.15,3.33,2.0
2002,2446,Rasual Butler,SF,78.75,,198.0,84.0,105.5,,,,31.5,37.5,11.54,3.29,10.0
2002,12291,Mire Chatman,PG-SG,72.0,,174.0,78.0,98.0,,,,29.0,33.0,11.12,3.18,1.0
2002,12042,Chris Christoffersen,C,84.75,,291.0,87.5,109.0,,,,28.0,31.0,12.55,3.39,13.0
2002,12043,Lenny Cooke,SG-SF,77.5,,214.0,85.0,107.0,,,,,,,,0.0
2002,12044,Craig Dawson,SG-SF,75.5,,200.0,78.25,102.0,,,,26.0,30.0,12.06,3.25,0.0
2002,2399,Mike Dunleavy,SF,80.0,,230.0,81.0,106.0,,,,24.5,29.0,11.55,3.3,11.0
2002,12045,Teddy Dupay,PG,69.5,,178.0,70.75,90.5,,,,28.0,33.0,10.53,3.19,16.0
2002,2451,Corsley Edwards,PF,79.25,,285.0,82.75,106.5,,,,28.5,33.0,12.18,3.31,12.0
2002,12046,Andy Ellis,PF,81.25,,220.0,82.25,102.0,,,,32.0,35.5,11.69,3.34,6.0
2002,2408,Melvin Ely,PF,81.0,,240.0,88.0,111.0,,,,26.0,29.0,11.96,3.35,7.0
2002,2501,Reggie Evans,PF,79.5,,250.0,86.5,107.5,,,,26.0,29.5,12.73,3.26,15.0
2002,12047,Peter Fehse,PF-C,82.0,,220.0,84.5,109.0,,,,,,,,
2002,2400,Drew Gooden,PF,80.75,,227.0,84.5,106.5,,,,29.0,33.0,11.81,3.19,13.0
2002,12066,David Graves,SG,76.5,,212.0,79.0,101.0,,,,26.0,29.5,11.2,3.27,8.0
2002,2696,Lynn Greer,PG,72.25,,170.0,73.0,94.5,,,,29.5,36.5,11.24,3.16,12.0
2002,12067,Rod Grizzard,SF-SG,78.0,,193.0,84.0,107.0,,,,,,,,6.0
2002,101219,Anthony Grundy,PG-SG,72.75,,167.0,79.75,99.0,,,,27.5,32.0,11.1,3.39,0.0
2002,2409,Marcus Haislip,PF,80.5,,221.0,84.0,107.0,,,,33.5,36.5,11.35,3.21,8.0
2002,12068,Damon Hancock,SG-PG,74.75,,203.0,78.0,99.5,,,,32.0,35.0,11.62,3.03,15.0
2002,12069,Greg Harrington,PG,73.0,,183.0,75.75,97.0,,,,28.5,34.0,12.06,3.32,15.0
2002,2617,Udonis Haslem,PF,79.75,,250.0,83.0,107.0,,,,28.5,33.5,11.8,3.31,22.0
2002,12070,Cordell Henry,PG,68.0,,155.0,73.0,92.0,,,,33.0,37.5,11.3,3.04,1.0
2002,2450,Randy Holcomb,SF-PF,79.0,,225.0,85.0,105.0,,,,29.5,35.5,12.85,3.22,15.0
2002,2415,Ryan Humphrey,PF-SF,78.0,,223.0,84.0,104.5,,,,31.5,37.5,11.75,3.2,13.0
2002,2407,Jared Jeffries,PF,82.0,,230.0,84.5,109.0,,,,26.0,30.0,11.73,3.4,9.0
2002,12049,Jason Jennings,C,83.25,,249.0,91.0,111.0,,,,29.0,32.0,11.92,3.62,8.0
2002,2410,Fred Jones,SG,74.25,,218.0,84.0,100.0,,,,33.5,37.5,11.12,3.13,
2002,2495,Lonnie Jones,C-PF,82.25,,230.0,86.25,112.0,,,,30.5,31.5,11.8,3.33,15.0
2002,2435,Mario Kasun,C,83.75,,260.0,83.5,109.0,,,,,,,,12.0
2002,12050,Sean Kennedy,PG,72.75,,182.0,74.5,96.0,,,,22.5,26.5,11.64,3.28,0.0
2002,12051,Kris Lang,C-PF,81.25,,242.0,83.75,109.0,,,,28.0,29.0,11.36,3.24,19.0
2002,12052,Muhammed Lasege,C-PF,80.75,,228.0,86.0,108.5,,,,27.5,30.0,12.96,3.29,18.0
2002,12053,Steve Logan,PG,70.0,,207.0,71.75,92.5,,,,,,,,11.0
2002,2677,Kevin Lyde,C-PF,80.75,,278.0,86.0,109.5,,,,27.5,30.5,12.97,3.36,13.0
2002,2432,Tito Maddox,PG,75.0,,200.0,77.0,99.0,,,,27.0,32.5,12.2,3.24,0.0
2002,12054,Kei Madison,SF,79.75,,216.0,84.5,107.0,,,,27.5,34.5,11.74,3.22,6.0
2002,-1,Chris Massie,PF,78.25,,248.0,84.0,107.0,,,,,,,,
2002,12055,Immanuel McElroy,SG,74.25,,191.0,78.5,100.0,,,,,,,,9.0
2002,12056,Aaron McGhee,PF-SF,79.0,,255.0,82.0,105.5,,,,26.0,28.5,12.24,,
2002,12057,Elvin Mims,SF-SG,76.25,,211.0,85.5,105.5,,,,32.0,38.0,11.17,3.22,7.0
2002,12058,Byron Mouton,SG-SF,76.5,,213.0,82.25,102.0,,,,24.0,30.0,11.84,3.1,7.0
2002,2436,Ronald Murray,SG,75.0,,197.0,79.5,100.5,,,,31.0,36.5,11.13,3.16,9.0
2002,12059,Uche Okafor,PF-C,81.0,,229.0,89.5,112.0,,,,24.5,25.0,14.45,3.34,10.0
2002,2442,Chris Owens,PF-SF,79.0,,237.0,83.5,104.0,,,,,,,,10.0
2002,2457,Jannero Pargo,PG,72.25,,168.0,74.5,96.0,,,,25.5,29.5,11.11,3.2,5.0
2002,2470,Smush Parker,PG-SG,74.5,,179.0,82.0,107.5,,,,21.0,28.5,12.3,3.26,1.0
2002,2458,Luke Recker,SG-SF,76.75,,198.0,79.0,101.0,,,,25.5,31.0,10.78,3.27,13.0
2002,12061,Rolan Roberts,PF,77.75,,241.0,85.0,105.5,,,,32.5,37.5,11.36,3.33,16.0
2002,12062,Travis Robinson,SF,77.25,,211.0,82.5,104.5,,,,26.0,33.0,11.96,3.43,3.0
2002,2416,Kareem Rush,SG-SF,76.75,,199.0,81.75,103.5,,,,26.0,30.0,11.86,3.22,15.0
2002,12063,Brooks Sales,PF-C,81.0,,232.0,82.0,108.0,,,,26.0,29.5,11.05,3.29,13.0
2002,2422,John Salmons,SF-SG,77.5,,207.0,82.25,104.0,,,,30.5,34.5,11.35,3.25,12.0
2002,2453,Predrag Savovic,SG,76.75,,212.0,79.0,102.0,,,,22.5,28.5,10.94,3.38,13.0
2002,201324,Julian Sensley,PF-SF,79.0,,228.0,83.5,105.5,,,,27.5,31.5,11.85,3.32,8.0
2002,12064,Israel Sheinfeld,PF-C,80.25,,239.0,81.75,106.5,,,,,,,,8.0
2002,12065,Preston Shumpert,SF,78.0,,197.0,80.5,103.5,,,,28.5,29.0,11.03,3.24,9.0
2002,2447,Tamar Slay,SF,78.75,,203.0,83.5,104.0,,,,32.5,38.0,10.94,3.09,11.0
