iter	Passed	Remaining
325	2520	572
326	2527	564
327	2534	556
328	2542	548
329	2549	540
330	2556	532
331	2564	525
332	2571	517
333	2578	509
334	2586	501
335	2593	494
336	2601	486
337	2608	478
338	2616	470
339	2623	463
340	2631	455
341	2638	447
342	2645	439
343	2652	431
344	2660	424
345	2667	416
346	2675	408
347	2683	400
348	2690	393
349	2698	385
350	2706	377
351	2714	370
352	2721	362
353	2731	354
354	2739	347
355	2746	339
356	2754	331
357	2762	324
358	2769	316
359	2777	308
360	2785	300
361	2793	293
362	2801	285
363	2809	277
364	2816	270
365	2824	262
366	2831	254
367	2838	246
368	2845	239
369	2853	231
370	2860	223
371	2869	215
372	2877	208
373	2884	200
374	2891	192
375	2898	185
376	2906	177
