Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Unnamed: 19,OWS,DWS,WS,WS/48,Unnamed: 24,OBPM,DBPM,BPM,VORP,Season
48,Cade Cunningham,PG,24,DET,14,572,18.3,.572,.347,.391,2.6,11.8,7.2,33.3,1.3,1.4,18.6,32.4,,0.6,0.6,1.2,.098,,3.4,0.1,3.4,0.8,2026
49,Tristan Da Silva,SF,24,ORL,7,107,5.6,.471,.552,.138,6.8,13.7,10.1,1.6,0.5,0.0,14.0,14.6,,-0.1,0.1,0.0,-0.004,,-3.5,-1.6,-5.1,-0.1,2026
50,PacÃ´me Dadiet,SG,20,NYK,7,40,17.6,.592,.500,.125,6.4,13.7,10.3,10.8,2.5,0.0,10.6,20.8,,0.1,0.1,0.1,.168,,0.4,0.3,0.8,0.0,2026
51,Dyson Daniels,SG,22,ATL,6,166,14.3,.504,.341,.146,5.8,21.2,12.9,27.7,3.3,1.1,20.1,14.6,,0.0,0.1,0.1,.036,,-0.7,3.4,2.7,0.2,2026
52,JD Davison,PG,23,HOU,2,5,2.0,1.136,,,0.0,51.6,23.5,0.0,0.0,0.0,69.4,25.4,,0.0,0.0,0.0,-0.203,,-13.3,-2.5,-15.8,0.0,2026
53,Mohamed Diawara,SF,20,NYK,6,43,2.0,.269,.462,.000,3.0,20.3,12.3,16.9,1.2,0.0,18.8,16.4,,-0.1,0.1,-0.1,-0.056,,-8.2,-1.6,-9.8,-0.1,2026
54,Gradey Dick,SG,22,TOR,3,4,3.3,,,,0.0,29.2,14.3,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.036,,-4.2,0.3,-3.9,0.0,2026
55,Donte DiVincenzo,SG,29,MIN,4,96,18.3,.654,.719,.063,0.0,17.5,8.4,25.1,3.5,0.0,10.8,16.0,,0.2,0.1,0.3,.171,,2.5,6.0,8.5,0.3,2026
56,Luguentz Dort,SF,26,OKC,15,335,6.4,.489,.793,.049,3.5,10.2,6.9,7.8,1.1,0.6,8.7,12.0,,0.1,0.2,0.3,.037,,-3.3,0.6,-2.8,-0.1,2026
57,Ayo Dosunmu,SG,26,MIN,10,292,18.0,.620,.351,.237,2.4,11.2,6.6,22.1,1.5,1.3,10.6,20.0,,0.7,0.2,0.9,.146,,2.7,2.6,5.4,0.5,2026
58,Andre Drummond,C,32,PHI,11,142,14.1,.785,.348,.435,9.6,28.6,19.0,7.4,1.4,1.5,24.7,11.7,,0.3,0.1,0.3,.118,,-1.8,2.5,0.7,0.1,2026
59,Ryan Dunn,SF,23,PHO,4,34,-5.6,.000,1.000,.000,0.0,20.5,10.1,7.3,0.0,0.0,42.9,8.9,,-0.2,0.0,-0.2,-0.271,,-11.1,-2.0,-13.1,-0.1,2026
60,Kevin Durant,SF,37,HOU,1,41,13.8,.721,.333,.750,5.3,12.6,8.6,17.8,1.3,2.4,36.1,26.9,,0.0,0.0,0.0,.005,,-1.3,-0.5,-1.7,0.0,2026
61,Jalen Duren,C,22,DET,14,422,13.8,.553,.000,.422,12.5,19.7,16.1,11.1,1.1,4.2,19.8,16.7,,0.2,0.6,0.8,.094,,-2.2,0.5,-1.7,0.0,2026
62,Tari Eason,PF,24,HOU,6,195,18.6,.587,.462,.200,6.7,18.5,12.1,9.1,4.0,2.0,6.6,17.1,,0.4,0.4,0.8,.188,,0.6,3.4,4.0,0.3,2026
63,VJ Edgecombe,SG,20,PHI,11,407,12.3,.504,.497,.124,6.4,12.5,9.5,14.5,1.4,1.1,10.5,19.2,,0.1,0.0,0.1,.009,,-0.4,-0.2,-0.6,0.1,2026
64,Anthony Edwards,SG,24,MIN,10,324,15.4,.533,.350,.283,1.6,18.0,9.4,14.1,0.7,2.0,11.0,29.1,,0.0,0.2,0.2,.037,,1.2,0.1,1.3,0.3,2026
65,Justin Edwards,SF,22,PHI,9,109,3.8,.428,.563,.219,6.3,14.9,10.6,5.4,0.0,1.0,14.6,17.2,,-0.2,0.0,-0.2,-0.098,,-6.8,-2.4,-9.3,-0.2,2026
66,Keon Ellis,SG,26,CLE,12,89,8.0,.552,.933,.333,4.0,14.6,9.3,4.7,4.0,1.0,25.9,11.5,,-0.1,0.1,0.1,.034,,-3.3,2.3,-0.9,0.0,2026
67,Joel Embiid,C,31,PHI,7,233,23.8,.560,.226,.476,3.9,21.4,12.6,30.8,0.4,2.8,9.1,32.4,,0.5,0.0,0.6,.116,,4.9,1.1,6.0,0.5,2026
68,Dorian Finney-Smith,PF,32,HOU,4,49,-1.3,.269,.786,.143,2.2,18.4,9.6,3.0,1.1,2.0,11.8,15.2,,-0.2,0.1,-0.1,-0.104,,-9.7,-1.7,-11.4,-0.1,2026
69,Rasheer Fleming,PF,21,PHO,4,18,22.0,.900,1.000,.000,6.2,0.0,3.2,0.0,5.6,5.3,16.7,14.4,,0.0,0.0,0.0,.122,,7.6,4.3,11.9,0.1,2026
70,De'Aaron Fox,PG,28,SAS,17,559,14.6,.502,.318,.220,2.0,10.7,6.5,27.8,1.8,0.8,10.6,23.0,,0.5,0.8,1.3,.111,,-0.2,0.8,0.5,0.4,2026
71,Luka Garza,C,27,BOS,7,59,19.9,.659,.650,.400,12.7,9.5,11.1,16.3,0.0,1.6,4.1,18.4,,0.3,0.0,0.3,.270,,2.1,1.7,3.8,0.1,2026
72,Paul George,PF,35,PHI,11,394,14.3,.597,.500,.141,1.7,10.9,6.3,13.7,1.8,1.4,12.7,20.1,,0.3,0.0,0.3,.038,,1.5,0.7,2.2,0.4,2026
73,Shai Gilgeous-Alexander,PG,27,OKC,15,544,24.8,.591,.207,.519,1.3,7.9,4.7,35.8,1.8,2.4,11.6,31.9,,2.0,0.4,2.4,.212,,5.2,1.3,6.5,1.2,2026
74,Collin Gillespie,PG,26,PHO,4,114,15.3,.576,.694,.028,5.9,14.3,10.0,19.9,2.2,0.8,9.9,15.3,,0.2,-0.1,0.1,.061,,2.0,0.8,2.8,0.1,2026
75,Rudy Gobert,C,33,MIN,12,372,13.0,.502,.029,.551,11.5,21.1,16.1,10.2,1.8,3.2,14.9,11.2,,0.2,0.4,0.7,.089,,-1.3,2.4,1.1,0.3,2026
76,Hugo GonzÃ¡lez,SF,19,BOS,4,19,-4.6,.000,1.000,.667,5.6,17.6,11.5,13.2,0.0,4.8,20.5,11.4,,-0.1,0.0,-0.1,-0.167,,-12.6,0.9,-11.7,0.0,2026
77,Jordan Goodwin,PG,27,PHO,1,5,-13.1,.250,.750,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.6,,0.0,0.0,0.0,-0.466,,-18.6,-6.6,-25.2,0.0,2026
78,Aaron Gordon,PF,30,DEN,3,89,10.7,.494,.467,.333,5.1,14.9,10.1,12.6,0.0,0.9,2.8,17.6,,0.1,0.0,0.1,.048,,-0.6,-1.5,-2.1,0.0,2026
79,Jerami Grant,PF,31,POR,5,112,11.1,.511,.349,.419,1.9,7.7,4.5,2.9,2.2,0.8,5.6,20.8,,0.1,0.0,0.1,.038,,-1.4,-0.2,-1.6,0.0,2026
80,Jalen Green,SG,23,PHO,4,151,13.4,.474,.410,.241,3.7,12.3,7.9,15.7,2.7,0.6,12.4,30.0,,-0.2,-0.1,-0.3,-0.083,,-1.0,-1.4,-2.4,0.0,2026
81,Javonte Green,SG,32,DET,11,132,7.4,.460,.900,.200,1.7,15.5,8.7,3.2,2.3,3.9,8.4,11.8,,0.0,0.2,0.2,.063,,-3.8,2.8,-1.0,0.0,2026
82,Jeff Green,PF,39,HOU,2,11,-13.4,.000,.500,.000,0.0,0.0,0.0,0.0,0.0,0.0,33.3,12.0,,-0.1,0.0,-0.1,-0.310,,-16.4,-5.8,-22.2,0.0,2026
83,Quentin Grimes,SG,25,PHI,11,243,11.1,.569,.603,.276,0.9,13.4,7.1,15.1,0.6,2.2,8.4,13.4,,0.3,0.0,0.3,.053,,-0.7,0.6,-0.1,0.1,2026
84,Mouhamed Gueye,PF,23,ATL,6,50,4.9,.336,.714,.143,10.8,12.6,11.6,11.8,1.0,0.0,6.3,14.1,,0.0,0.0,-0.1,-0.067,,-6.1,-1.2,-7.3,-0.1,2026
85,Rui Hachimura,PF,27,LAL,10,386,15.6,.690,.475,.090,1.9,10.4,6.3,7.6,1.2,1.4,6.6,16.1,,0.9,0.2,1.1,.134,,2.7,0.8,3.6,0.5,2026
86,Yang Hansen,C,20,POR,4,5,-12.3,.000,1.000,.000,0.0,24.5,11.3,0.0,0.0,0.0,0.0,17.3,,0.0,0.0,0.0,-0.404,,-13.4,-6.3,-19.6,0.0,2026
87,Tim Hardaway Jr.,SG,33,DEN,6,140,14.0,.585,.511,.533,4.9,11.1,8.0,5.7,1.4,1.2,6.7,18.8,,0.2,0.1,0.3,.095,,1.1,-0.2,0.9,0.1,2026
88,James Harden,PG,36,CLE,18,672,14.8,.568,.510,.498,2.3,13.9,8.1,24.0,2.3,1.6,21.7,25.4,,0.1,0.6,0.7,.050,,0.6,0.2,0.8,0.5,2026
89,Dylan Harper,SG,19,SAS,19,488,18.7,.631,.279,.355,5.8,16.7,11.4,15.3,2.1,0.7,13.1,20.1,,1.1,0.8,2.0,.193,,1.5,2.5,4.0,0.7,2026
90,Ron Harper Jr.,SF,25,BOS,6,25,20.8,.611,.667,.000,4.3,13.4,8.7,6.3,6.1,0.0,0.0,15.9,,0.1,0.1,0.1,.221,,3.9,6.0,9.9,0.1,2026
91,Tobias Harris,PF,33,DET,14,485,16.6,.523,.304,.294,3.8,20.0,11.9,8.1,2.2,2.3,5.8,23.1,,0.6,0.8,1.4,.134,,0.2,1.9,2.1,0.5,2026
92,Josh Hart,SF,30,NYK,15,489,14.7,.520,.476,.186,4.2,26.8,16.4,18.7,3.0,0.7,15.6,16.7,,0.4,1.2,1.6,.156,,-0.5,3.2,2.7,0.6,2026
93,Isaiah Hartenstein,C,27,OKC,15,350,20.0,.664,.011,.333,16.9,24.3,20.7,16.1,1.7,2.8,20.1,16.2,,1.0,0.5,1.4,.197,,0.8,2.2,3.0,0.4,2026
94,Sam Hauser,PF,28,BOS,7,164,11.5,.587,.826,.000,5.9,14.3,10.0,5.4,0.3,0.6,4.2,12.9,,0.3,0.1,0.4,.115,,0.4,0.0,0.4,0.1,2026
95,Jaxson Hayes,C,25,LAL,10,163,14.5,.715,.036,.964,11.5,12.4,12.0,6.7,1.0,4.6,20.0,14.0,,0.3,0.1,0.4,.131,,-2.3,0.9,-1.4,0.0,2026
96,Scoot Henderson,PG,21,POR,5,145,11.6,.600,.475,.136,1.4,5.1,3.1,7.5,1.4,0.6,12.6,21.3,,0.1,0.0,0.1,.022,,-0.7,-0.4,-1.1,0.0,2026
97,Buddy Hield,SG,33,ATL,2,13,22.1,1.000,.400,.000,0.0,19.3,8.9,0.0,0.0,0.0,28.6,23.9,,0.0,0.0,0.0,-0.035,,6.5,-2.1,4.4,0.0,2026
98,Haywood Highsmith,SF,29,PHO,2,11,-7.4,.000,1.000,.000,10.1,21.2,15.5,11.3,0.0,0.0,50.0,15.7,,-0.1,0.0,-0.1,-0.413,,-11.1,-5.0,-16.1,0.0,2026
99,Aaron Holiday,PG,29,HOU,6,67,1.0,.364,.682,.000,0.0,3.9,1.8,7.1,1.6,1.4,12.0,16.5,,-0.2,0.1,-0.1,-0.078,,-8.2,-2.2,-10.4,-0.1,2026
100,Jrue Holiday,PG,35,POR,5,192,13.6,.506,.442,.117,4.4,12.1,7.9,32.1,1.8,0.9,16.5,21.8,,0.0,0.1,0.1,.021,,0.9,0.3,1.2,0.2,2026
101,Ron Holland,SF,20,DET,9,58,6.7,.428,.615,.385,2.0,25.5,13.8,2.4,3.5,3.6,16.5,13.7,,-0.1,0.1,0.0,.034,,-6.5,3.8,-2.7,0.0,2026
102,DaRon Holmes,PF,23,DEN,2,4,6.6,,,,0.0,55.4,28.1,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,.081,,-4.2,0.7,-3.6,0.0,2026
103,Chet Holmgren,PF,23,OKC,15,459,20.4,.663,.288,.356,7.7,23.0,15.5,5.5,1.8,4.8,10.6,18.0,,1.2,0.7,1.8,.191,,1.6,1.4,3.1,0.6,2026
104,Jett Howard,SF,22,ORL,1,3,-25.2,.000,1.000,.000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,,0.0,0.0,0.0,-0.694,,-17.8,-10.0,-27.8,0.0,2026
105,Kevin Huerter,SG,27,DET,5,46,7.0,.429,.714,.000,0.0,12.4,6.2,20.8,2.2,0.0,22.2,8.6,,0.0,0.1,0.0,.051,,-2.9,2.3,-0.6,0.0,2026
106,Ariel Hukporti,C,23,NYK,8,70,12.5,.483,.091,1.364,23.7,28.1,26.1,3.5,1.4,7.6,22.1,14.2,,0.0,0.2,0.2,.153,,-6.0,0.0,-6.0,-0.1,2026
107,Bones Hyland,PG,25,MIN,10,116,7.7,.430,.680,.160,2.6,9.7,6.0,18.5,1.7,0.8,13.0,22.0,,-0.2,0.1,-0.1,-0.039,,-3.0,-0.3,-3.2,0.0,2026
108,Oso Ighodaro,PF,23,PHO,4,129,11.9,.563,.000,.250,10.4,14.4,12.4,17.7,0.8,2.2,20.8,11.3,,0.2,-0.1,0.0,.014,,-0.9,0.5,-0.4,0.1,2026
109,Joe Ingles,SF,38,MIN,3,14,23.2,.902,1.000,.667,7.3,8.0,7.6,0.0,6.9,0.0,20.5,14.5,,0.0,0.0,0.1,.192,,7.3,6.3,13.6,0.1,2026
110,Brandon Ingram,SF,28,TOR,5,148,7.0,.440,.224,.397,1.5,11.0,6.2,10.6,1.0,2.9,12.8,22.6,,-0.3,0.1,-0.2,-0.059,,-3.6,-0.9,-4.5,-0.1,2026
111,Trayce Jackson-Davis,C,25,TOR,3,4,0.5,.532,.000,2.000,28.1,0.0,14.3,0.0,0.0,0.0,34.7,30.8,,0.0,0.0,0.0,-0.115,,-20.2,-6.5,-26.7,0.0,2026
112,Bronny James,SG,21,LAL,8,42,9.5,.600,.600,.000,9.0,0.0,4.4,26.2,1.2,0.0,28.6,15.2,,0.0,0.0,0.0,.030,,-1.4,-1.3,-2.8,0.0,2026
113,LeBron James,SF,41,LAL,10,384,18.8,.550,.284,.344,1.3,19.5,10.6,35.5,1.8,0.7,15.3,29.5,,0.4,0.3,0.7,.088,,2.8,0.3,3.0,0.5,2026
114,Daniss Jenkins,PG,24,DET,14,318,12.3,.472,.484,.254,4.7,8.6,6.7,20.8,1.0,1.6,6.9,20.0,,0.3,0.3,0.6,.086,,-0.4,0.0,-0.4,0.1,2026
115,Isaiah Joe,SG,26,OKC,13,143,14.2,.568,.836,.018,4.1,10.3,7.3,14.1,2.5,0.7,8.3,18.5,,0.2,0.1,0.4,.118,,0.8,1.4,2.1,0.1,2026
116,Cameron Johnson,SF,29,DEN,6,186,13.9,.612,.565,.274,1.8,9.5,5.7,12.8,1.6,0.9,7.9,17.9,,0.2,0.1,0.3,.089,,0.9,0.0,0.9,0.1,2026
117,Jalen Johnson,SF,24,ATL,6,214,17.2,.551,.337,.348,3.0,23.5,12.5,25.3,1.2,0.8,11.7,24.9,,0.2,0.0,0.2,.051,,1.6,0.4,2.0,0.2,2026
118,Keldon Johnson,SF,26,SAS,19,344,11.0,.502,.364,.245,7.8,11.1,9.5,7.5,1.7,0.8,11.7,22.3,,-0.1,0.5,0.4,.060,,-2.1,-0.5,-2.6,-0.1,2026
119,Nikola JokiÄ,C,30,DEN,6,237,22.8,.554,.298,.355,4.3,32.7,18.7,45.5,1.2,1.7,14.1,30.4,,0.3,0.3,0.7,.133,,5.5,2.5,8.0,0.6,2026
120,Spencer Jones,SF,24,DEN,6,145,10.6,.920,.684,.263,2.4,6.9,4.6,2.1,1.3,4.0,15.9,7.7,,0.2,0.1,0.3,.107,,-0.4,1.2,0.8,0.1,2026
121,Tyus Jones,PG,29,DEN,3,30,12.5,.507,.125,.250,0.0,0.0,0.0,26.7,3.2,0.0,0.0,13.1,,0.0,0.0,0.1,.093,,-0.6,1.2,0.6,0.0,2026
122,Luke Kennard,SG,29,LAL,10,326,12.0,.638,.475,.288,1.2,11.6,6.5,11.1,1.4,0.3,13.4,14.6,,0.4,0.2,0.6,.085,,-0.7,0.0,-0.7,0.1,2026
123,Corey Kispert,SF,26,ATL,5,54,-1.2,.236,.545,.136,6.0,11.6,8.6,16.2,1.8,0.0,11.4,21.6,,-0.3,0.0,-0.3,-0.256,,-9.3,-3.4,-12.8,-0.1,2026
124,Maxi Kleber,PF,34,LAL,3,14,5.3,.266,.000,2.000,17.9,0.0,8.7,28.4,3.7,0.0,51.5,12.6,,0.0,0.0,0.0,-0.069,,-5.1,1.4,-3.8,0.0,2026
125,Dalton Knecht,SF,24,LAL,5,18,19.6,.563,.625,.250,0.0,39.5,20.3,28.3,0.0,0.0,10.1,25.0,,0.0,0.0,0.1,.153,,4.3,1.2,5.5,0.0,2026
126,Tyler Kolek,PG,24,NYK,8,53,17.3,.541,.360,.080,2.4,10.3,6.7,32.9,0.0,2.0,10.4,24.0,,0.1,0.1,0.2,.178,,1.0,-1.9,-1.0,0.0,2026
127,Luke Kornet,C,30,SAS,19,264,17.4,.634,.018,.321,15.3,17.2,16.3,7.5,2.0,5.3,14.7,12.1,,0.6,0.5,1.1,.205,,0.2,2.5,2.6,0.3,2026
128,VÃ­t KrejÄÃ­,PG,25,POR,4,16,-0.3,.250,.750,.000,0.0,7.7,3.5,18.3,0.0,0.0,0.0,10.8,,0.0,0.0,0.0,-0.085,,-8.9,-0.9,-9.8,0.0,2026
